mlb_id,player_name,ogba_team_code,positions,is_pitcher,R,HR,RBI,SB,H,AB,AVG,W,SV,K,ER,IP,ERA,BB_H,WHIP,mlb_team_abbr,mlb_team_name,mlb_full_name,mlb_primary_pos,mlb_bats,mlb_throws
684007,S. Imanaga,RGS,P,1,0,0,0,0,0,0,0.0,8,0,93,40,112.99,3.19,105,0.93,,Chicago Cubs,Shota Imanaga,P,L,L
547184,M. Kelly,,P,1,0,0,0,0,0,0,0.0,4,0,20,10,30.0,3.0,40,1.33,,Athletics,Michael Kelly,P,R,R
592662,R. Ray,LDY,P,1,0,0,0,0,0,0,0.0,10,0,163,58,164.0,3.18,191,1.16,,San Francisco Giants,Robbie Ray,P,L,L
666157,N. Lodolo,TSH,P,1,0,0,0,0,0,0,0.0,8,0,130,48,134.32,3.22,140,1.04,,Cincinnati Reds,Nick Lodolo,P,L,L
656605,M. Keller,,P,1,0,0,0,0,0,0,0.0,6,0,125,73,151.0,4.35,194,1.28,,Pittsburgh Pirates,Mitch Keller,P,R,R
681982,I. Anderson,DLC,P,1,0,0,0,0,0,0,0.0,2,0,66,20,62.66,2.87,76,1.21,,Milwaukee Brewers,Grant Anderson,P,R,R
642547,F. Peralta,DDG,P,1,0,0,0,0,0,0,0.0,16,0,168,44,153.66,2.58,165,1.07,,Milwaukee Brewers,Freddy Peralta,P,R,R
694297,B. Pfaadt,,P,1,0,0,0,0,0,0,0.0,12,0,117,83,142.67,5.24,196,1.37,,Arizona Diamondbacks,Brandon Pfaadt,P,R,R
671096,A. Abbott,RGS,P,1,0,0,0,0,0,0,0.0,8,0,125,41,139.0,2.65,155,1.12,,Cincinnati Reds,Andrew Abbott,P,L,L
543243,S. Gray,DVD,P,1,0,0,0,0,0,0,0.0,12,0,168,71,152.33,4.19,180,1.18,,Boston Red Sox,Sonny Gray,P,R,R
601713,N. Pivetta,,P,1,0,0,0,0,0,0,0.0,13,0,167,50,158.34,2.84,149,0.94,,San Diego Padres,Nick Pivetta,P,R,R
660761,Ra. Suarez,DMK,P,1,0,0,0,0,0,0,0.0,1,0,5,2,7.33,2.46,10,1.36,,Navegantes del Magallanes,José Suarez,P,L,L
650911,C. Sanchez,SKD,P,1,0,0,0,0,0,0,0.0,11,0,181,50,169.33,2.66,190,1.12,,Philadelphia Phillies,Cristopher Sánchez,P,L,L
663903,B. Singer,,P,1,0,0,0,0,0,0,0.0,11,0,132,62,137.33,4.06,175,1.27,,Cincinnati Reds,Brady Singer,P,R,R
656849,D. Peterson,DVD,P,1,0,0,0,0,0,0,0.0,8,0,136,61,151.99,3.61,199,1.31,,New York Mets,David Peterson,P,L,L
592791,J. Taillon,TSH,P,1,0,0,0,0,0,0,0.0,9,0,81,49,106.34,4.15,115,1.08,,Chicago Cubs,Jameson Taillon,P,R,R
668964,T. Myers,,P,1,0,0,0,0,0,0,0.0,1,0,30,17,37.33,4.1,55,1.47,,Milwaukee Brewers,Tobias Myers,P,R,R
669022,M. Gore,DDG,P,1,0,0,0,0,0,0,0.0,5,0,173,68,147.33,4.15,197,1.34,,Washington Nationals,MacKenzie Gore,P,L,L
